,stime,uid,etime,lat,lng,stated,grid
854,2016-09-05 16:12:50,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 16:28:50,26.57696832,106.7144534,1,2823.0
855,2016-09-05 17:14:24,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 17:29:57,26.5742868541,106.721278792,1,2763.0
856,2016-09-05 18:14:26,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:14:26,26.5810465539,106.71860819129999,0,2886.0
857,2016-09-05 18:16:38,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:16:38,26.586278513899998,106.71635895040001,0,2947.0
858,2016-09-05 18:32:36,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:32:36,26.59449912,106.68698870000001,0,3065.0
859,2016-09-05 18:36:18,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:36:18,26.59959889,106.6679929,0,3123.0
860,2016-09-05 18:37:13,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:37:13,26.600027243200003,106.65906287809999,0,3121.0
861,2016-09-05 18:37:40,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:37:40,26.6000283551,106.6590644981,0,3121.0
862,2016-09-05 18:38:47,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:38:47,26.60252342,106.64673020000001,0,3180.0
863,2016-09-05 18:40:05,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 18:40:05,26.60252342,106.64673020000001,0,3180.0
864,2016-09-05 19:14:45,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 19:38:06,26.61288086,106.6351241,1,3302.0
865,2016-09-05 20:38:19,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 23:59:59,26.61137865,106.6476021,1,3304.0
866,2016-09-05 00:06:28,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 09:37:03,26.56393252,106.6822723,1,2630.0
867,2016-09-05 09:38:28,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 09:38:28,26.57284381,106.6921252,0,2756.0
868,2016-09-05 09:39:53,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 11:16:42,26.56393252,106.6822723,1,2630.0
869,2016-09-05 11:22:25,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 11:22:25,26.57284381,106.6921252,0,2756.0
870,2016-09-05 11:24:10,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:16:42,26.56393252,106.6822723,1,2630.0
871,2016-09-05 15:18:59,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:18:59,26.57284381,106.6921252,0,2756.0
872,2016-09-05 15:20:40,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:20:40,26.57284381,106.6921252,0,2756.0
873,2016-09-05 15:22:34,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:22:34,26.57284381,106.6921252,0,2756.0
874,2016-09-05 15:23:42,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:23:42,26.56393252,106.6822723,0,2630.0
875,2016-09-05 15:24:38,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:24:38,26.56393252,106.6822723,0,2630.0
876,2016-09-05 15:25:54,8d95880e63d34bb5ce92acdb7c687a41,2016-09-05 15:25:54,26.57284381,106.6921252,0,2756.0
