stime,uid,etime,lat,lng,stated,grid
2016-09-05 20:13:55,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:13:55,26.57508828,106.4872555,0,20410
2016-09-05 20:14:02,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:14:02,26.57508828,106.4872555,0,20410
2016-09-05 20:18:22,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:18:22,26.5725559687,106.4727373341,0,20162
2016-09-05 20:22:40,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:22:40,26.5732724495,106.4784057459,0,20163
2016-09-05 20:24:47,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:44:48,26.5888258012,106.4780223096,1,21143
2016-09-05 21:21:18,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 21:21:18,26.5725559687,106.4727373341,0,20162
2016-09-05 21:21:45,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 21:21:45,26.5725559687,106.4727373341,0,20162
2016-09-05 21:21:54,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 21:21:54,26.5725559687,106.4727373341,0,20162
2016-09-05 21:25:27,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 21:25:27,26.5725559687,106.4727373341,0,20162
2016-09-05 21:25:48,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 21:25:48,26.5725559687,106.4727373341,0,20162
2016-09-05 21:26:33,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 21:26:33,26.5725559687,106.4727373341,0,20162
2016-09-05 00:15:06,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 08:09:55,26.592490685,106.7079624,1,21194
2016-09-05 08:38:53,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 08:50:04,26.5683167539,106.7109556215,1,19969
2016-09-05 09:56:00,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 09:56:00,26.57133366,106.7163297,0,20215
2016-09-05 09:56:14,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 09:56:14,26.57133366,106.7163297,0,20215
2016-09-05 09:57:53,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 09:57:53,26.56653724,106.7122685,0,19970
2016-09-05 10:00:04,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 10:00:04,26.569138826,106.707027818,0,19968
2016-09-05 10:00:37,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 10:00:37,26.569138826,106.707027818,0,19968
2016-09-05 10:21:12,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 12:10:15,26.57133366,106.7163297,1,20215
2016-09-05 12:11:31,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 12:11:31,26.56653724,106.7122685,0,19970
2016-09-05 12:05:40,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 12:21:40,26.56252435,106.7129473,1,19725
2016-09-05 12:54:32,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 15:33:39,26.57133366,106.7163297,1,20215
2016-09-05 16:16:01,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 16:16:01,26.57031103,106.7119341,0,20214
2016-09-05 16:16:25,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 16:16:25,26.57031103,106.7119341,0,20214
2016-09-05 17:21:56,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 17:37:56,26.56653724,106.7122685,1,19970
2016-09-05 17:53:52,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:17:33,26.57133366,106.7163297,1,20215
2016-09-05 18:19:51,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:19:51,26.56252435,106.7129473,0,19725
2016-09-05 18:20:08,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:20:08,26.56252435,106.7129473,0,19725
2016-09-05 18:21:13,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-05 18:21:13,26.56653724,106.7122685,0,19970
2016-09-05 19:47:45,4af5f937bed7ce4f3ce41019efa92c7b,2016-09-06 00:01:39,26.5928372335,106.7078500765,1,21439
2016-09-05 00:58:35,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 07:04:07,26.6035667061,106.7315852201,1,21934
2016-09-05 08:04:09,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 09:04:10,26.5989153,106.7323295,1,21689
2016-09-05 10:04:11,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:04:11,26.6035667061,106.7315852201,0,21934
2016-09-05 10:48:14,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:48:14,26.59449912,106.6869887,0,21434
2016-09-05 10:51:21,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:51:21,26.59959889,106.6679929,0,21675
2016-09-05 10:52:03,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:52:03,26.5984860688,106.6659040893,0,21674
2016-09-05 10:54:36,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 10:54:36,26.60249828,106.6667563,0,21920
2016-09-05 11:54:37,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 11:54:37,26.60452935,106.6609488,0,21918
2016-09-05 11:57:28,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 11:57:28,26.5984860688,106.6659040893,0,21674
2016-09-05 11:58:01,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 11:58:01,26.5984860688,106.6659040893,0,21674
2016-09-05 12:00:10,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:00:10,26.60252342,106.6467302,0,21915
2016-09-05 12:04:49,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:18:11,26.5945036143,106.6693914668,1,21430
2016-09-05 12:19:54,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:19:54,26.59959889,106.6679929,0,21675
2016-09-05 12:27:16,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:27:16,26.6000283551,106.6590644981,0,21673
2016-09-05 12:30:19,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 12:30:19,26.60452935,106.6609488,0,21918
2016-09-05 13:30:21,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:30:21,26.61421314,106.6518842,0,22406
2016-09-05 13:37:22,b5648943702aa6b4ec17e86fbdaa3334,2016-09-05 13:37:22,26.6265842581,106.6779751763,0,23147
